A,B,C
21.15459,78.65298,0.19243
16.53493,82.95512,0.50994
11.77702,87.55561,0.66736
6.59355,92.54472,0.86173
1.69099,97.59989,0.70912
0.04085,98.78813,1.17102
0.40822,92.05256,7.53923
0,85.97236,14.02764
0,80.02561,19.97439
0,74.6197,25.3803
0,69.69077,30.30923
28.4875,70.65,0.8625
25.21784,73.75705,1.02512
20.98272,78.29507,0.72221
15.93636,83.21596,0.84768
10.95283,88.50961,0.53756
5.06799,94.03928,0.89273
0.63198,94.25844,5.10959
0.17958,87.85274,11.96768
0,81.61553,18.38447
0,75.67661,24.32339
0,70.17404,29.82596
0.47549,65.49304,34.03147
0,61.39081,38.60919
35.62373,63.66633,0.70994
32.87162,66.15365,0.97473
29.84941,69.42318,0.72741
25.51715,73.84132,0.64153
20.5918,78.31876,1.08944
15.54534,83.63282,0.82184
9.67138,88.32517,2.00346
3.08741,87.82411,9.08848
0.09006,82.94095,16.969
0,77.18586,22.81414
0.07082,71.36449,28.56468
0,66.00225,33.99775
0,61.49721,38.50279
0,57.60231,42.39769
0,53.48938,46.51062
42.57186,56.60137,0.82676
40.34578,58.96012,0.69409
37.13953,61.58024,1.28023
34.17688,64.67519,1.14793
29.98381,68.84273,1.17346
25.64387,73.22071,1.13542
20.47632,78.46674,1.05693
14.42861,79.70677,5.86462
6.63834,79.26182,14.09984
0.89387,76.83495,22.27118
0.38746,71.0982,28.51435
0,66.05814,33.94186
0,61.25642,38.74358
0,56.92205,43.07795
0,52.85668,47.14332
0,49.51786,50.48214
0,45.75956,54.24044
49.85861,49.07455,1.06684
47.57207,51.39013,1.0378
44.85751,54.04145,1.10104
42.13704,56.7078,1.15516
38.47926,60.28734,1.2334
35.57759,63.19703,1.22539
30.77689,68.11326,1.10985
25.94937,71.77791,2.27273
18.77063,70.97085,10.25853
11.3956,70.11144,18.49297
4.50348,69.24731,26.24921
0.20972,65.96348,33.82679
0.0243,60.9842,38.99149
0,55.96499,44.03501
0,52.48874,47.51126
0,48.59569,51.40431
0.17863,44.50151,55.31986
0,41.58373,58.41627
0,38.47757,61.52243
54.21971,44.7434,1.03688
52.01907,46.56428,1.41666
49.27711,49.39759,1.3253
46.74194,52.14257,1.11549
43.92108,54.68945,1.38947
40.16358,58.54498,1.29143
36.64313,61.82701,1.52986
30.19709,63.04129,6.76162
23.29159,61.78873,14.91968
16.04363,60.91526,23.04111
8.81459,59.91641,31.269
1.90511,59.21829,38.8766
0,55.64761,44.35239
0,50.76852,49.23148
0,46.85283,53.14717
0.03336,43.28292,56.68372
0.06559,40.15085,59.78356
0.03242,37.07586,62.89172
0.27349,34.23039,65.49612
60.39341,38.22435,1.38224
58.35628,40.26707,1.37665
56.28127,42.2318,1.48694
54.31319,44.14835,1.53846
51.79991,47.05797,1.14211
48.99173,49.81866,1.18961
45.69339,52.97806,1.32856
42.09813,54.63576,3.2661
35.10818,53.94774,10.94409
27.54014,53.48806,18.9718
20.00261,52.25731,27.74008
13.11642,51.28368,35.5999
5.44444,50.8642,43.69136
0.83263,48.65452,50.51285
0,45.20611,54.79389
0,41.24287,58.75713
0,37.93103,62.06897
0.08834,34.90504,65.00663
0,32.56141,67.43859
0.73953,29.2224,70.03806
0,27.45484,72.54516
64.55714,33.962,1.48086
62.76823,35.91019,1.32159
60.91378,37.4821,1.60412
59.11815,39.16952,1.71233
57.19535,41.15831,1.64633
54.77395,43.87739,1.34866
51.73275,46.70621,1.56104
46.23901,46.40582,7.35517
38.68017,45.9969,15.32292
31.66148,44.70731,23.6312
24.00841,43.9191,32.0725
16.53753,43.21097,40.25149
9.69659,42.24149,48.06192
3.26694,41.5351,55.19796
0.05955,38.73273,61.20772
0,35.3971,64.6029
0,32.60384,67.39616
0.20572,29.32005,70.47423
0.14242,26.90622,72.95136
0,25.22025,74.77975
0.31868,22.61538,77.06593
69.04762,29.45703,1.49535
67.66344,31.03196,1.3046
66.18557,32.28277,1.53166
64.25685,34.21643,1.52672
62.57925,35.84351,1.57724
60.0705,38.29515,1.63435
57.30138,39.38565,3.31296
50.55756,37.88427,11.55817
43.3367,36.79585,19.86745
35.76976,36.13037,28.09986
28.0995,35.32509,36.57541
21.33402,34.18584,44.48014
13.93097,34.02036,52.04867
6.55101,33.27672,60.17227
1.93347,31.49994,66.56659
0.71511,28.74279,70.5421
0,26.44291,73.55709
0,24.03101,75.96899
0,21.78512,78.21488
0.71468,19.96701,79.31831
0.75708,18.25763,80.9853
73.93026,24.8363,1.23344
72.58953,26.03306,1.37741
71.27363,27.36288,1.3635
70.01281,28.5943,1.39289
68.36919,30.15273,1.47808
66.77966,31.69492,1.52542
61.14418,30.83664,8.01918
54.02939,29.77572,16.1949
46.98201,28.52583,24.49216
39.4555,27.84688,32.69762
32.24087,27.07168,40.68745
25.05163,26.39391,48.55447
18.36966,25.62681,56.00353
11.54316,24.28467,64.17217
4.88867,23.56002,71.55131
0.16562,22.35893,77.47545
0,20.14857,79.85143
0,17.91797,82.08203
0.30279,16.39565,83.30156
0.17652,14.99338,84.8301
0.10113,13.38353,86.51534
78.15446,20.57218,1.27336
78.19045,20.59882,1.21073
